post_id,post_date,post_time,day_of_week,post_type,content_length,hashtags_count,has_media,media_type,impressions,likes,comments,shares,engagement_rate,total_engagement,like_rate,comment_rate,share_rate,virality_score,post_hour,time_period
1,2024-03-17,12:15,Sunday,Carousel,480,0,Yes,Image,14550,690,114,82,6.09,886,4.742268041237113,0.7835051546391752,0.563573883161512,8.0,12,Afternoon
2,2024-02-28,19:30,Wednesday,Carousel,193,2,Yes,Image,19245,914,88,112,5.79,1114,4.749285528708755,0.4572616263964666,0.581969342686412,7.4097168095609245,19,Evening
3,2024-03-25,14:45,Monday,Video,288,5,Yes,Video,42471,1735,132,249,4.98,2116,4.085140448776812,0.3108003108003108,0.5862824044642226,6.465588283770102,14,Afternoon
4,2024-01-09,10:15,Tuesday,Video,241,0,Yes,Video,26416,1181,209,168,5.9,1558,4.470775287704422,0.7911871592973956,0.6359781950333132,7.961084191399152,10,Morning
5,2024-03-16,16:45,Saturday,Text,400,5,No,No Media,25902,827,99,60,3.81,986,3.192803644506216,0.3822098679638638,0.23164234422052352,4.652150413095514,16,Afternoon
6,2024-03-26,18:15,Tuesday,Image,277,9,Yes,Image,6483,157,20,13,2.93,190,2.4217183402745643,0.308499151627333,0.20052444855776647,3.6402899892025298,18,Evening
7,2024-02-09,16:00,Friday,Image,489,8,Yes,Image,13529,466,58,46,4.21,570,3.4444526572547858,0.4287086998299949,0.34001034814103037,5.3219011013378665,16,Afternoon
8,2024-03-26,8:30,Tuesday,Text,428,7,No,No Media,36022,1592,213,206,5.58,2011,4.419521403586697,0.5913053134195769,0.571872744433957,7.3177502637277225,8,Morning
9,2024-04-05,12:45,Friday,Carousel,292,6,Yes,Image,28089,912,79,107,3.91,1098,3.246822599594147,0.2812488874648439,0.38093203745238347,4.9521164868809855,12,Afternoon
10,2024-02-09,12:30,Friday,Image,377,0,Yes,Image,24927,535,73,42,2.61,650,2.146267099931801,0.2928551370000401,0.16849199663016007,3.237453363822361,12,Afternoon
11,2024-01-11,13:30,Thursday,Image,452,0,Yes,Image,33551,887,45,33,2.88,965,2.643736401299514,0.13412416917528538,0.09835772406187596,3.2070579118357125,13,Afternoon
12,2024-03-26,16:45,Tuesday,Video,259,10,Yes,Video,41305,1389,110,106,3.89,1605,3.3627890085946013,0.2663115845539281,0.25662752693378527,4.665294758503813,16,Afternoon
