post_id,post_date,post_type,impressions,engagement_rate,total_engagement,virality_score
243,2024-03-06,Image,10050,6.45,648,8.706467661691542
106,2024-01-19,Carousel,33641,6.27,2109,8.281561190214322
192,2024-02-27,Text,3805,6.25,238,8.068331143232589
232,2024-02-29,Image,13593,6.24,848,8.2174648716251
233,2024-03-29,Carousel,33452,6.24,2087,8.247638407270118
241,2024-01-06,Video,38137,6.22,2372,8.18365366966463
70,2024-04-07,Image,31538,6.2,1956,7.984019278330902
159,2024-01-03,Image,6932,6.2,430,8.136180034622043
36,2024-03-31,Carousel,3839,6.2,238,7.710341234696536
145,2024-02-09,Image,5237,6.19,324,8.38266182929158
